GW_ID,lon,lat,dist,coverage,color
0,12.471173000000002,41.89527799999999,2.5432608583815663,2.2400889097890357,0
1,12.468083,41.892212,2.8920048398797844,2.3415734084050173,1
2,12.490399,41.911377,1.4102927710356248,1.9103951963713668,2
3,12.489026,41.925172,2.824290705079307,2.321868595178078,3
4,12.494863,41.89451199999999,0.9039522777454734,1.7630501128239326,4
5,12.497266,41.88761099999999,1.5536824483663334,1.952121592474603,5
6,12.508252,41.89323400000001,1.0912992621351012,1.8175680852813145,6
7,12.512029,41.886589,1.8843895446573846,2.048357357495299,0
8,12.506879,41.907032999999984,0.8089493366419378,1.7354042569628039,1
9,12.476323,41.879688,3.1463581856220024,2.4155902320160028,2
10,12.488683000000002,41.87329699999999,3.274984777556486,2.4530205702689374,3
11,12.494176,41.865882,3.979992786400713,2.6581779008426074,4
12,12.531255,41.868695,4.418727912555902,2.785849822553767,5
13,12.46568,41.91572000000001,3.317843889898668,2.465492571960512,6
14,12.458814,41.88301,4.028897813937323,2.672409263855761,0
15,12.523358,41.88198800000001,2.848174226298638,2.3288186998529037,1
16,12.528165,41.91291,2.6045337801398327,2.257919330020691,2
17,12.537091000000002,41.9009,3.0035000037278943,2.374018501084817,3
18,12.544988,41.88684400000001,3.996244827816567,2.6629072448946207,4
19,12.488683000000002,41.850796,5.708387304058188,3.1611407054809324,5
20,12.5666173,41.9116961,5.5668882781393885,3.119964488938562,6
21,12.5755437,41.9336647,7.153063157064774,3.581541378705849,0
22,12.6479848,41.93979409999999,12.906393586872952,5.255760533780029,1
23,12.6229223,41.92574669999999,10.463048381148566,4.544747078914233,2
24,12.578977,41.83679299999999,9.664448978677607,4.312354652795183,3
25,12.6493581,41.8360256,14.284443495476568,5.656773057183681,4
26,12.6170858,41.8383277,11.90748017091791,4.9650767297371114,5
27,12.4512609,41.82758379999999,9.169593561570979,4.168351726417155,6
28,12.433751400000002,41.8099292,11.581915918695021,4.870337532340251,0
29,12.349294,41.81299989999999,15.935139499227347,6.137125594275157,1
30,12.3170217,41.8037873,18.69103011471167,6.939089763381095,2
31,12.3650869,41.82963039999999,13.779502608941838,5.509835259202075,3
32,12.3781331,41.865435300000016,10.911737536107358,4.675315623007241,4
33,12.3922094,41.8876753,9.11594667160918,4.152740481438271,5
34,12.4100622,41.906586100000006,7.532433801616017,3.691938236270261,6
35,12.3523839,41.92191499999999,12.493069340593088,5.1354831781125885,0
36,12.400792400000002,41.9405602,9.353964677978462,4.222003721291733,1
37,12.4131521,41.95077449999999,9.099932461529033,4.1480803463049485,2
38,12.474606800000002,41.9505191,5.883048784324332,3.2119671962383807,3
39,12.5374349,41.9709428,8.312166109418841,3.9188403378408827,4
40,12.5377782,41.9612424,7.3302113328257565,3.633091497852295,5
41,12.5521978,41.96302940000001,8.070806193219807,3.8486046022269638,6
42,12.4615606,41.8603215,5.5992911002722465,3.1293937101792237,0
43,12.6706441,41.8214436,16.635439522316723,6.340912900994166,1
44,12.4852498,41.8370488,7.263205933752105,3.6135929267218625,2
45,12.437528,41.936218700000005,6.515984432759551,3.396151469933029,3
46,12.457784,41.93621869999999,5.264773090223784,3.032048969255121,4
47,12.5055059,41.8421644,6.590760996168399,3.417911449885004,5
48,12.418645200000002,41.9101632,6.869773551370117,3.499104103448704,6
49,12.5010427,41.79994839999999,11.27348592325344,4.780584403666751,0
